企业代号,销-进金额,增值税,销1,销2,销3,销4,进1,进2,进3,进4,进项发票的作废比例,销项发票的作废比例,绝对数变化,比例变化,是否扭亏为盈利,是否变为亏损,下属部门,分公司 ,公司,个体经营,评级,信誉评级,是否违约
E1,-1898184082,0,179,51,51,71,332,74,27,3,0.055797733,0.027620222,-193872136,1.720613861,0,0,0,0,1,0,1,A,否
E2,426297552.3,28261615.82,1147,268,121,43,2424,780,314,103,0.022421943,0.082002046,110302536.5,2.197674176,0,0,0,0,1,0,1,A,否
E3,514987171,88562269.38,48,48,25,14,386,103,58,23,0.042534532,0.015993021,-115477286.1,0.516353348,0,0,0,1,0,0,3,C,否
E4,1511803093,254330043.4,16,10,0,0,94,21,13,2,0.066308244,0.085163604,-1168509293,0.053642121,0,0,0,0,1,0,3,C,否
E5,691527.38,548958.88,16,15,2,0,324,47,19,2,0.039188566,0.051886792,4068217.15,85.22708692,0,0,0,0,1,0,2,B,否
E6,45673584.07,9086998.62,85,38,18,1,1170,235,96,13,0.046132134,0.132129278,14520912.32,6.220033757,0,0,0,0,1,0,1,A,否
E7,450248079.4,79329020.55,1004,101,103,3,1043,392,126,10,0.034664427,0.01435759,-170352223.8,0.282999939,0,0,0,1,0,0,1,A,否
E8,186366411.1,13359969.4,2051,428,169,31,1758,547,216,72,0.033679446,0.113103448,10175963.7,1.190343495,0,0,0,0,1,0,1,A,否
E9,294700968.1,48008699.68,26,28,24,45,497,138,72,26,0.02189611,0.024720623,8701373.76,1.102641628,0,0,0,1,0,0,1,A,否
E10,334674157.2,10308763.71,14,2,7,3,707,122,51,0,0.057847205,0.091549296,82858784.61,5.695238829,0,0,0,0,1,0,2,B,否
E11,5011729.91,2085745.11,1,1,2,0,353,96,13,3,0.042665726,0.05908684,-38346246.26,0.062246969,0,0,0,0,1,0,3,C,否
E12,119554241,12226064.87,1,3,1,0,298,77,16,2,0.021714922,0.077192982,-84557485.89,0.314231061,0,0,0,0,1,0,2,B,否
E13,114691249.5,19162604.52,2699,342,111,25,456,150,73,43,0.015888336,0.149531543,17290905.08,1.624659042,0,0,0,0,1,0,1,A,否
E14,86038310.36,17351210.64,499,176,145,0,609,170,126,0,0.077716547,0.071642686,8017782.6,1.260860968,0,0,0,0,0,1,3,C,否
E15,207585880.2,7211027.52,0,0,1,1,27,5,1,0,0,0.063018242,28666792.4,2.030952353,0,0,0,0,1,0,1,A,否
E16,209132769.2,4130668.31,34,9,8,2,63,11,3,0,0.003448276,0.111617312,39872630.5,4.427526479,0,0,0,0,1,0,1,A,否
E17,12371632.79,0,136,37,6,3,633,165,67,4,0.056157505,0.170118343,10825143.39,4.609111121,0,0,0,0,1,0,1,A,否
E18,50065149.39,0,32,5,8,1,507,94,38,2,0.053772767,0.094488189,17393819.63,25.37000438,0,0,0,0,1,0,1,A,否
E19,-10663999.95,0,359,105,32,12,112,35,15,5,0.026246719,0.089706357,457386.04,1.295208096,0,0,0,0,1,0,1,A,否
E20,-2938233.73,871931.22,20,1,3,1,51,10,8,1,0.078761062,0.051480051,4408596.54,3.448482477,0,0,0,0,1,0,2,B,否
E21,-11541727.45,2010367.05,312,13,0,0,398,67,13,2,0.071799308,0.025920873,9020452.64,-107.8554226,1,0,0,0,1,0,2,B,否
E22,39408223.26,1007767.46,29,12,3,1,54,17,8,1,0.055900621,0.125480154,34495523.8,-68.36411556,1,0,0,0,1,0,1,A,否
